id,nome,total_aquisicoes,media_tempo_jogado
474030,"The Abbey of Crime Extensum",75000,190625
219340,"The Banner Saga: Factions",350000,95245
380140,"The Secret of Tremendous Corporation",150000,95242
465520,PRICE,350000,63481
324510,Boundless,35000,55204
326160,"Shroud of the Avatar: Forsaken Virtues",75000,54618
269950,"X-Plane 11",150000,44169
892420,懒人修仙传,35000,43632
252690,"Fantasy Grounds",35000,43074
464350,Screeps,35000,38805
561080,"The Price of Freedom",75000,36029
39210,"FINAL FANTASY XIV Online",1500000,28897
320320,Darkstone,75000,27375
656370,"Warp Rider",35000,25324
687480,"Trivia Vault: Science & History Trivia",10000,25322
680120,"The Moon Night",10000,25317
570,"Dota 2",150000000,23944
578080,"PLAYERUNKNOWN'S BATTLEGROUNDS",75000000,22938
730,"Counter-Strike: Global Offensive",75000000,22494
283880,"Heroine's Quest: The Herald of Ragnarok",750000,21247
