id,nome,data_lancamento,generos,total_aquisicoes,faturamento
578080,"PLAYERUNKNOWN'S BATTLEGROUNDS",2017-12-21,"Action;Adventure;Massively Multiplayer",75000000,2024250000
582010,"MONSTER HUNTER: WORLD",2018-08-09,Action,7500000,374925000
346110,"ARK: Survival Evolved",2017-08-27,"Action;Adventure;Indie;Massively Multiplayer;RPG",7500000,337425000
863550,"HITMAN™ 2",2018-11-13,Action,7500000,337425000
252490,Rust,2018-02-08,"Action;Adventure;Indie;Massively Multiplayer;RPG",7500000,208425000
814380,"Sekiro™: Shadows Die Twice",2019-03-21,Action;Adventure,3500000,174650000
221100,DayZ,2018-12-13,"Action;Adventure;Massively Multiplayer",3500000,118965000
435150,"Divinity: Original Sin 2 - Definitive Edition",2017-09-14,Adventure;RPG;Strategy,3500000,104965000
552500,"Warhammer: Vermintide 2",2018-03-08,Action,3500000,83265000
582160,"Assassin's Creed® Origins",2017-10-26,Action;Adventure;RPG,1500000,74985000
812140,"Assassin's Creed® Odyssey",2018-10-05,Action;Adventure;RPG,1500000,74985000
264710,Subnautica,2018-01-23,Adventure;Indie,3500000,68215000
601150,"Devil May Cry 5",2019-03-07,Action,1500000,67485000
883710,"RESIDENT EVIL 2 / BIOHAZARD RE:2",2019-01-24,Action,1500000,67485000
594570,"Total War: WARHAMMER II",2017-09-28,Action;Strategy,1500000,59985000
577800,"NBA 2K18",2017-09-14,Simulation;Sports,1500000,59985000
624090,"Football Manager 2018",2017-11-09,Simulation;Sports,1500000,56985000
242760,"The Forest",2018-04-30,Action;Adventure;Indie;Simulation,3500000,54215000
244850,"Space Engineers",2019-02-28,Action;Indie;Simulation;Strategy,3500000,54215000
838350,"太吾绘卷 The Scroll Of Taiwu",2018-09-20,"Adventure;Casual;Indie;RPG;Strategy;Early Access",3500000,54215000
356190,"Middle-earth™: Shadow of War™",2017-10-09,Action;Adventure;RPG,1500000,52485000
379430,"Kingdom Come: Deliverance",2018-02-13,Action;Adventure;RPG,1500000,44985000
294100,RimWorld,2018-10-17,Indie;Simulation;Strategy,1500000,41685000
594650,"Hunt Showdown",2018-02-22,"Action;Early Access",1500000,38985000
552520,"Far Cry® 5",2018-03-26,Action;Adventure,750000,37492500
323190,Frostpunk,2018-04-24,Simulation;Strategy,1500000,37485000
361420,ASTRONEER,2019-02-05,Adventure;Indie,1500000,35685000
305620,"The Long Dark",2017-08-01,Adventure;Indie;Simulation;Strategy,1500000,35685000
834910,ATLAS,2018-12-22,"Action;Adventure;Massively Multiplayer;RPG;Early Access",1500000,35685000
476600,"Call of Duty®: WWII",2017-11-02,Action,750000,33742500
750920,"Shadow of the Tomb Raider",2018-09-14,Action;Adventure,750000,33742500
588650,"Dead Cells",2018-08-06,Action;Indie,1500000,32985000
612880,"Wolfenstein II: The New Colossus",2017-10-26,Action,750000,29992500
411300,ELEX,2017-10-17,Action;Adventure;RPG,750000,29992500
664430,"WWE 2K18",2017-10-17,Simulation;Sports,750000,29992500
228380,Wreckfest,2018-06-14,Action;Indie;Racing;Simulation;Sports,750000,29242500
646570,"Slay the Spire",2019-01-23,Indie;Strategy,1500000,29235000
648350,"Jurassic World Evolution",2018-06-11,Simulation;Strategy,750000,26242500
637090,BATTLETECH,2018-04-24,Action;Adventure;Strategy,750000,26242500
637650,"FINAL FANTASY XV WINDOWS EDITION",2018-03-06,RPG,750000,26242500
392110,"Endless Space® 2",2017-05-18,Strategy,750000,26242500
389730,"TEKKEN 7",2017-06-01,Action;Sports,750000,26242500
440900,"Conan Exiles",2018-05-08,"Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy",750000,25492500
583950,Artifact,2018-11-28,Strategy,1500000,23985000
513710,SCUM,2018-08-29,"Action;Adventure;Indie;Massively Multiplayer;Early Access",1500000,23235000
285190,"Warhammer 40,000: Dawn of War III",2017-04-27,Violent;Gore;Action;Simulation;Strategy,750000,22492500
787860,"Farming Simulator 19",2018-11-19,Simulation,750000,22492500
632360,"Risk of Rain 2",2019-03-28,"Action;Indie;Early Access",1500000,22485000
433340,"Slime Rancher",2017-08-01,Action;Adventure;Indie;Simulation,1500000,22485000
268910,Cuphead,2017-09-29,Action;Indie,1500000,22485000
285900,"Gang Beasts",2017-12-12,Action;Adventure;Casual;Indie,1500000,22485000
306130,"The Elder Scrolls® Online",2017-05-22,"Massively Multiplayer;RPG",1500000,22485000
431960,"Wallpaper Engine",2018-11-16,"Animation & Modeling;Design & Illustration;Utilities",7500000,20925000
581320,"Insurgency: Sandstorm",2018-12-12,Action,750000,19492500
414340,"Hellblade: Senua's Sacrifice",2017-08-07,Action;Adventure;Indie,750000,18742500
548430,"Deep Rock Galactic",2018-02-28,"Action;Indie;Early Access",750000,18742500
666140,"My Time At Portia",2019-01-15,Adventure;Casual;Indie;RPG;Simulation,750000,18742500
414700,"Outlast 2",2017-04-24,"Sexual Content;Nudity;Violent;Gore;Action;Adventure;Indie",750000,17842500
466560,Northgard,2018-03-07,Indie;Simulation;Strategy,750000,17842500
488790,"South Park™: The Fractured But Whole™",2017-10-16,"Sexual Content;Nudity;Violent;Gore;RPG",350000,17496500
502500,"ACE COMBAT™ 7: SKIES UNKNOWN",2019-01-31,Action;Simulation,350000,17496500
646910,"The Crew™ 2",2018-06-28,"Action;Massively Multiplayer;Racing",350000,17496500
25000,Overgrowth,2017-10-16,Action;Indie,750000,17242500
427290,Vampyr,2018-06-04,Action;RPG,350000,15746500
421020,"DiRT 4",2017-06-08,Racing;Simulation;Sports,350000,15746500
378860,"Project CARS 2",2017-09-21,Racing,350000,15746500
515220,"F1™ 2017",2017-08-24,Racing;Simulation;Sports,350000,15746500
678950,"DRAGON BALL FighterZ",2018-01-26,Action,350000,15746500
641990,"The Escapists 2",2017-08-21,Indie;Simulation;Strategy,750000,14992500
480490,Prey,2017-05-04,Action;Adventure,750000,14992500
299740,Miscreated,2018-12-18,"Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Strategy",750000,14617500
644930,"They Are Billions",2017-12-12,"Strategy;Early Access",750000,14617500
457140,"Oxygen Not Included",2017-05-18,"Indie;Simulation;Early Access",750000,14242500
418460,"Rising Storm 2: Vietnam",2017-05-30,"Action;Massively Multiplayer;Simulation;Strategy",750000,14242500
485510,"Nioh: Complete Edition / 仁王 Complete Edition",2017-11-07,Action;RPG,350000,13996500
627270,"Injustice™ 2",2017-11-30,Action,350000,13996500
311290,"SpellForce 3",2017-12-07,RPG;Strategy,350000,13996500
