id,jogos_mais_baixados,total_avaliacoes,total_aquisicoes,avaliacao
620,Portal 2,140111,15000000,97.3
400,Portal,52881,15000000,95.92
10,Counter-Strike,127873,15000000,94.78
550,Left 4 Dead 2,260207,15000000,93.53
4000,Garry's Mod,380154,15000000,91.35
72850,The Elder Scrolls V: Skyrim,252254,15000000,88.15
440,Team Fortress 2,549915,35000000,87.62
238960,Path of Exile,77710,15000000,84.26
230410,Warframe,246809,35000000,83.58
304930,Unturned,324056,35000000,80.57
320,Half-Life 2: Deathmatch,6807,15000000,76.88
730,Counter-Strike: Global Offensive,3046717,75000000,73.59
570,Dota 2,1005586,150000000,71.74
340,Half-Life 2: Lost Coast,6803,15000000,70.01
291550,Brawlhalla,87757,15000000,66.98
301520,Robocraft,111347,15000000,44.34
271590,Grand Theft Auto V,468369,15000000,40.51
291480,Warface,47160,15000000,38.89
227940,Heroes & Generals,100272,15000000,31.35
578080,PLAYERUNKNOWN'S BATTLEGROUNDS,983260,75000000,0.93
